,Years,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
163,                Oklahoma (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456570.0,457261.0,457785.0,459980.0,463093.0,466769.0,475047.0,481361.0,490235.0,499651.0,509115.0,515775.0,533854.0,547676.0,561224.0,574748.0,589266.0,603543.0,618835.0,636199.0,653159.0,
164,                Oregon (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,438982.0,442433.0,447975.0,454143.0,461454.0,470082.0,481720.0,493302.0,508044.0,522740.0,536859.0,550899.0,578591.0,602600.0,628140.0,654314.0,681767.0,708892.0,736494.0,764394.0,789527.0,
165,                Pennsylvania (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1918168.0,1908904.0,1901729.0,1897784.0,1890139.0,1887004.0,1892949.0,1904849.0,1929412.0,1946648.0,1962853.0,1978333.0,2041266.0,2087453.0,2134909.0,2177116.0,2226818.0,2278958.0,2334948.0,2394171.0,2447687.0,
166,                Rhode Island (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152430.0,151444.0,150827.0,150048.0,149703.0,148273.0,148116.0,147818.0,149702.0,151120.0,152426.0,153799.0,159101.0,162950.0,166602.0,169679.0,173559.0,177607.0,182218.0,187157.0,192477.0,
167,                South Carolina (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487207.0,493935.0,500477.0,508784.0,519533.0,533157.0,555170.0,573594.0,596978.0,616932.0,637215.0,658617.0,695870.0,727705.0,761217.0,794989.0,830335.0,865113.0,900787.0,938374.0,976375.0,
168,                South Dakota (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108196.0,108125.0,108011.0,108231.0,108754.0,109204.0,110593.0,112049.0,113875.0,115343.0,116807.0,117714.0,120902.0,124381.0,128366.0,132362.0,136643.0,141069.0,146071.0,151794.0,157177.0,
169,                Tennessee (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,705380.0,712341.0,717537.0,726905.0,736685.0,751856.0,774360.0,792742.0,816996.0,837344.0,858339.0,877393.0,917211.0,950298.0,983171.0,1013407.0,1044708.0,1075141.0,1107542.0,1143881.0,1180543.0,
170,                Texas (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2081043.0,2106665.0,2133468.0,2169960.0,2209185.0,2257814.0,2329651.0,2388097.0,2463988.0,2542745.0,2620703.0,2701716.0,2838491.0,2956722.0,3078906.0,3201879.0,3328106.0,3455945.0,3589741.0,3726513.0,3873683.0,
171,                Utah (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191226.0,194367.0,197940.0,201563.0,205856.0,212772.0,220866.0,226890.0,235191.0,243394.0,251154.0,258234.0,270721.0,282243.0,294242.0,306412.0,319831.0,333875.0,348774.0,364960.0,381593.0,
172,                Vermont (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77694.0,78105.0,78717.0,79413.0,80259.0,81186.0,82887.0,84686.0,87242.0,89315.0,91545.0,93853.0,98134.0,102000.0,105674.0,109210.0,112948.0,116911.0,120948.0,124625.0,128594.0,
173,                Virginia (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,795196.0,806139.0,817654.0,830905.0,843511.0,862030.0,880307.0,900391.0,930374.0,956921.0,983573.0,1010666.0,1062186.0,1105554.0,1148151.0,1189259.0,1230993.0,1272547.0,1315811.0,1359679.0,1401044.0,
174,                Washington (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,663772.0,669956.0,677450.0,687110.0,699007.0,713571.0,733951.0,752933.0,777493.0,806616.0,833783.0,858700.0,904506.0,944064.0,985624.0,1028494.0,1072510.0,1116012.0,1161056.0,1205820.0,1247874.0,
175,                West Virginia (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277060.0,276903.0,277528.0,279225.0,279941.0,281261.0,284105.0,287475.0,291914.0,294949.0,298149.0,301146.0,311807.0,320286.0,329379.0,337190.0,345230.0,352916.0,360267.0,367624.0,373569.0,
176,                Wisconsin (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703347.0,704905.0,708511.0,713138.0,718291.0,724024.0,730958.0,740868.0,755862.0,767936.0,780187.0,791189.0,820285.0,844584.0,870517.0,895199.0,922860.0,952465.0,982017.0,1014956.0,1047935.0,
177,                Wyoming (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57884.0,58505.0,59139.0,60195.0,61176.0,62187.0,63310.0,64764.0,66678.0,68607.0,70549.0,72256.0,75807.0,78873.0,81982.0,85249.0,88420.0,91956.0,95994.0,99917.0,103776.0,
178,        Adult working-age (18-64) (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137833805.0,140033252.0,142064527.0,143865383.0,145464767.0,146883913.0,148259859.0,149606667.0,151128422.0,152681210.0,154160041.0,155861474.0,157656476.0,159431155.0,161163486.0,163045067.0,165025786.0,167328927.0,169806438.0,172295967.0,174716654.0,177007489.0,179166529.0,181143646.0,183304244.0,185343132.0,187458091.0,189386091.0,191211743.0,193014187.0,193492055.0,195099021.0,195793073.0,196594198.0,197406805.0,198233948.0,198962533.0,199542945.0,199912395.0,200018845.0,201002645.0,
179,            By State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,                Alabama (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2749020.0,2763394.0,2777894.0,2800036.0,2823241.0,2850474.0,2889103.0,2918474.0,2946335.0,2974705.0,2978209.0,2988165.0,2985930.0,2986285.0,2980624.0,2975718.0,2969200.0,2963149.0,2957978.0,2953647.0,2945934.0,
181,                Alaska (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401242.0,407528.0,414987.0,421162.0,430803.0,437697.0,444122.0,448350.0,454009.0,459665.0,448151.0,456440.0,458889.0,459328.0,457966.0,455990.0,455595.0,451297.0,446918.0,442175.0,437117.0,
182,                Arizona (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3115840.0,3191229.0,3272195.0,3345009.0,3437326.0,3553377.0,3674010.0,3756819.0,3819547.0,3855365.0,3869886.0,3916040.0,3949134.0,3981477.0,4028088.0,4076301.0,4131980.0,4183907.0,4246901.0,4314711.0,4381386.0,
183,                Arkansas (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1623706.0,1637406.0,1651858.0,1667506.0,1686390.0,1706635.0,1731368.0,1747096.0,1761263.0,1774374.0,1781636.0,1795166.0,1792621.0,1790874.0,1788854.0,1790798.0,1792618.0,1793480.0,1792676.0,1790430.0,1789244.0,
184,                California (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21112439.0,21502346.0,21814596.0,22103184.0,22372695.0,22583125.0,22777740.0,22967455.0,23225956.0,23502235.0,23614598.0,23846933.0,24007531.0,24172131.0,24348924.0,24494021.0,24594430.0,24650708.0,24661233.0,24581225.0,24444801.0,
185,                Colorado (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2801959.0,2873599.0,2920336.0,2943920.0,2978581.0,3013905.0,3069525.0,3119475.0,3172306.0,3220602.0,3232462.0,3279668.0,3311145.0,3349585.0,3392362.0,3453304.0,3506386.0,3544068.0,3588712.0,3622358.0,3645367.0,
186,                Connecticut (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2098783.0,2116009.0,2138187.0,2158971.0,2172488.0,2187503.0,2201813.0,2212246.0,2226359.0,2240503.0,2247529.0,2259312.0,2257076.0,2254465.0,2251984.0,2244122.0,2232892.0,2224271.0,2216579.0,2201127.0,2185148.0,
187,                Delaware (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489290.0,496225.0,504161.0,512904.0,521765.0,531083.0,539711.0,547389.0,554042.0,558766.0,560118.0,565144.0,566619.0,568950.0,571675.0,574211.0,575385.0,576199.0,577768.0,579532.0,581139.0,
188,                District of Columbia (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387779.0,391034.0,391322.0,389727.0,391144.0,393347.0,399064.0,404046.0,411194.0,422330.0,431793.0,443199.0,452337.0,461247.0,466929.0,474030.0,479516.0,484183.0,487768.0,488464.0,489690.0,
189,                Florida (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9580480.0,9808728.0,10056621.0,10293975.0,10592274.0,10892773.0,11139744.0,11283568.0,11373929.0,11449646.0,11497706.0,11629889.0,11718010.0,11820615.0,11957791.0,12132640.0,12327704.0,12495038.0,12617031.0,12697079.0,12777572.0,
190,                Georgia (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5262287.0,5361629.0,5446098.0,5516427.0,5617714.0,5703763.0,5844026.0,5958752.0,6053408.0,6128408.0,6123215.0,6173234.0,6215080.0,6233930.0,6267742.0,6318470.0,6382908.0,6435742.0,6486202.0,6540786.0,6572760.0,
191,                Hawaii (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,757052.0,768429.0,780560.0,788664.0,804999.0,819996.0,833611.0,835894.0,846658.0,853542.0,824126.0,830701.0,832453.0,832676.0,830243.0,828039.0,827277.0,819550.0,812628.0,801898.0,790826.0,
192,                Idaho (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782542.0,797969.0,812561.0,829049.0,848049.0,869458.0,893170.0,913720.0,928795.0,938640.0,940781.0,948480.0,952154.0,957481.0,965168.0,973413.0,989921.0,1008833.0,1026314.0,1046437.0,1066338.0,
193,                Illinois (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7688563.0,7743826.0,7788251.0,7824916.0,7866855.0,7895268.0,7939356.0,7983348.0,8024120.0,8066366.0,8067236.0,8104249.0,8092255.0,8088247.0,8065752.0,8024198.0,7968540.0,7915500.0,7850661.0,7780079.0,7692962.0,
194,                Indiana (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3763065.0,3792138.0,3817196.0,3849741.0,3877489.0,3908457.0,3942125.0,3970197.0,3995680.0,4018873.0,4035199.0,4057417.0,4056353.0,4065873.0,4068315.0,4062896.0,4063877.0,4062925.0,4071514.0,4074882.0,4070389.0,
195,                Iowa (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1759350.0,1767632.0,1776119.0,1787173.0,1799505.0,1809907.0,1822406.0,1833397.0,1844286.0,1855775.0,1866977.0,1879679.0,1880901.0,1886677.0,1890392.0,1890645.0,1888046.0,1885499.0,1880318.0,1877577.0,1870064.0,
196,                Kansas (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1623266.0,1635636.0,1649735.0,1660519.0,1673171.0,1683625.0,1698246.0,1710268.0,1726062.0,1738760.0,1733128.0,1740971.0,1742354.0,1741128.0,1741699.0,1740773.0,1738050.0,1728407.0,1722871.0,1713530.0,1706007.0,
197,                Kentucky (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2548442.0,2566870.0,2586006.0,2604951.0,2628873.0,2650855.0,2669659.0,2692338.0,2707215.0,2724826.0,2723089.0,2736083.0,2730272.0,2735184.0,2727790.0,2724808.0,2719611.0,2717626.0,2709876.0,2700711.0,2687474.0,
198,                Louisiana (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2736496.0,2754788.0,2780904.0,2807233.0,2840258.0,2863733.0,2708126.0,2753943.0,2788995.0,2828278.0,2842559.0,2870601.0,2872106.0,2878004.0,2878314.0,2878613.0,2871165.0,2850282.0,2831365.0,2810353.0,2784362.0,
199,                Maine (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,791952.0,800438.0,810697.0,821487.0,829092.0,835368.0,840227.0,842851.0,844967.0,843974.0,839641.0,841881.0,835570.0,830247.0,826759.0,821244.0,817729.0,814784.0,811922.0,809590.0,806829.0,
200,                Maryland (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3352630.0,3399587.0,3450076.0,3493632.0,3532980.0,3570907.0,3603291.0,3625292.0,3647493.0,3681774.0,3695668.0,3731887.0,3748449.0,3758594.0,3761182.0,3762932.0,3747995.0,3743902.0,3733658.0,3720915.0,3698975.0,
201,                Massachusetts (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3998872.0,4035259.0,4059542.0,4075564.0,4081834.0,4089135.0,4108650.0,4131619.0,4162066.0,4202992.0,4235057.0,4274551.0,4295095.0,4320693.0,4345335.0,4357816.0,4366310.0,4378486.0,4378417.0,4368572.0,4348717.0,
202,                Michigan (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6135037.0,6171551.0,6201237.0,6233498.0,6254958.0,6264032.0,6263090.0,6239983.0,6206989.0,6185365.0,6171603.0,6186600.0,6176384.0,6173009.0,6165829.0,6148675.0,6137522.0,6126943.0,6107549.0,6073588.0,6023592.0,
203,                Minnesota (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3048595.0,3092664.0,3127298.0,3161315.0,3191548.0,3219270.0,3250768.0,3279817.0,3304014.0,3324611.0,3337143.0,3361524.0,3368909.0,3380346.0,3389147.0,3393905.0,3400306.0,3408561.0,3414796.0,3415393.0,3405146.0,
204,                Mississippi (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1729982.0,1740014.0,1750133.0,1760938.0,1777280.0,1788874.0,1789791.0,1804223.0,1816918.0,1824267.0,1819216.0,1826129.0,1822144.0,1823276.0,1818643.0,1810888.0,1805993.0,1800768.0,1787679.0,1777045.0,1758996.0,
205,                Missouri (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3422671.0,3456383.0,3490850.0,3524106.0,3559237.0,3593386.0,3629768.0,3659921.0,3682636.0,3707509.0,3710592.0,3724707.0,3718981.0,3716758.0,3714785.0,3713720.0,3707468.0,3704254.0,3695744.0,3685253.0,3671570.0,
206,                Montana (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,552418.0,557318.0,563099.0,571323.0,580734.0,588986.0,597980.0,605556.0,612270.0,616380.0,616171.0,619559.0,619796.0,622414.0,623577.0,624977.0,627121.0,630257.0,630866.0,631814.0,633940.0,
207,                Nebraska (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1031010.0,1039248.0,1048379.0,1059201.0,1068880.0,1079153.0,1087359.0,1093772.0,1101843.0,1112008.0,1115594.0,1123169.0,1127198.0,1131131.0,1134847.0,1136596.0,1139471.0,1139996.0,1140314.0,1138677.0,1136494.0,
208,                Nevada (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1281125.0,1331898.0,1379337.0,1427124.0,1491186.0,1548805.0,1607840.0,1656263.0,1687991.0,1703401.0,1701036.0,1703943.0,1716120.0,1727841.0,1746224.0,1769310.0,1793788.0,1821774.0,1854163.0,1887531.0,1910535.0,
209,                New Hampshire (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,781149.0,794364.0,805719.0,816087.0,825009.0,833390.0,841347.0,845543.0,848519.0,849983.0,849836.0,852575.0,852244.0,850335.0,852544.0,851488.0,852252.0,852772.0,851290.0,850176.0,848704.0,
210,                New Jersey (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5227366.0,5274979.0,5320178.0,5356838.0,5386210.0,5409443.0,5430700.0,5451343.0,5476819.0,5513297.0,5538313.0,5561329.0,5553003.0,5550051.0,5540928.0,5529088.0,5512924.0,5505076.0,5486192.0,5462188.0,5428496.0,
211,                New Mexico (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1099749.0,1110887.0,1131227.0,1150873.0,1172228.0,1192643.0,1212680.0,1230572.0,1241074.0,1255115.0,1260546.0,1268822.0,1266564.0,1264330.0,1256231.0,1250327.0,1245375.0,1239472.0,1234435.0,1232979.0,1232264.0,
212,                New York (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11860944.0,11947586.0,12013170.0,12075438.0,12109278.0,12124026.0,12154626.0,12203838.0,12280997.0,12371930.0,12426048.0,12507867.0,12510419.0,12519457.0,12496272.0,12450753.0,12386885.0,12305096.0,12220027.0,12105192.0,11953923.0,
213,                North Carolina (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5141501.0,5220064.0,5290567.0,5342648.0,5431445.0,5524302.0,5654052.0,5769580.0,5886651.0,5969961.0,5942071.0,5999804.0,6021387.0,6055311.0,6087143.0,6131731.0,6187937.0,6244616.0,6299885.0,6347106.0,6382419.0,
214,                North Dakota (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386961.0,388704.0,391080.0,394643.0,401268.0,404014.0,407709.0,410831.0,414322.0,419722.0,419225.0,427242.0,436388.0,449264.0,458256.0,466820.0,463393.0,459662.0,457725.0,455940.0,453363.0,
215,                Ohio (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6967551.0,6999350.0,7030453.0,7066159.0,7093891.0,7116297.0,7135220.0,7149008.0,7157294.0,7173122.0,7179318.0,7196164.0,7166259.0,7163002.0,7152918.0,7137783.0,7120499.0,7106579.0,7087082.0,7062342.0,7018178.0,
216,                Oklahoma (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2105948.0,2124621.0,2146334.0,2160953.0,2180534.0,2196512.0,2224282.0,2248660.0,2268124.0,2295210.0,2294689.0,2312419.0,2322385.0,2335521.0,2342851.0,2355206.0,2357848.0,2352161.0,2348966.0,2350864.0,2354414.0,
217,                Oregon (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2143215.0,2176841.0,2214716.0,2242982.0,2261223.0,2293797.0,2332160.0,2366954.0,2395040.0,2419666.0,2431553.0,2453686.0,2457590.0,2460874.0,2473972.0,2497678.0,2538085.0,2563025.0,2575586.0,2584328.0,2588623.0,
218,                Pennsylvania (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7447155.0,7484230.0,7534367.0,7593604.0,7647458.0,7703193.0,7767082.0,7819514.0,7861869.0,7915281.0,7952022.0,7996656.0,7980130.0,7965251.0,7946839.0,7916383.0,7879420.0,7844283.0,7814723.0,7762515.0,7708432.0,
219,                Rhode Island (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,649773.0,657402.0,666478.0,673219.0,678648.0,677711.0,677632.0,675842.0,675503.0,676624.0,674241.0,674999.0,674314.0,673574.0,673401.0,672279.0,670952.0,668229.0,666640.0,662658.0,658379.0,
220,                South Carolina (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2526375.0,2554926.0,2586787.0,2617728.0,2662277.0,2700052.0,2752635.0,2806326.0,2857902.0,2893211.0,2878315.0,2894087.0,2903037.0,2920081.0,2939522.0,2968000.0,2994587.0,3018272.0,3040894.0,3064223.0,3082308.0,
221,                South Dakota (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444967.0,449052.0,453315.0,458172.0,464838.0,469813.0,475108.0,480727.0,485401.0,490520.0,492396.0,498011.0,503397.0,506918.0,507900.0,507851.0,509750.0,513074.0,513130.0,514053.0,513599.0,
